@relation MicTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute f_63 numeric
@attribute f_64 numeric
@attribute f_65 numeric
@attribute f_66 numeric
@attribute f_67 numeric
@attribute f_68 numeric
@attribute f_69 numeric
@attribute f_70 numeric
@attribute f_71 numeric
@attribute f_72 numeric
@attribute f_73 numeric
@attribute f_74 numeric
@attribute f_75 numeric
@attribute f_76 numeric
@attribute f_77 numeric
@attribute f_78 numeric
@attribute f_79 numeric
@attribute f_80 numeric
@attribute f_81 numeric
@attribute f_82 numeric
@attribute f_83 numeric
@attribute f_84 numeric
@attribute f_85 numeric
@attribute f_86 numeric
@attribute f_87 numeric
@attribute f_88 numeric
@attribute f_89 numeric
@attribute f_90 numeric
@attribute f_91 numeric
@attribute f_92 numeric
@attribute f_93 numeric
@attribute f_94 numeric
@attribute f_95 numeric
@attribute f_96 numeric
@attribute f_97 numeric
@attribute f_98 numeric
@attribute f_99 numeric
@attribute f_100 numeric
@attribute f_101 numeric
@attribute f_102 numeric
@attribute f_103 numeric
@attribute f_104 numeric
@attribute f_105 numeric
@attribute f_106 numeric
@attribute f_107 numeric
@attribute f_108 numeric
@attribute f_109 numeric
@attribute f_110 numeric
@attribute f_111 numeric
@attribute f_112 numeric
@attribute f_113 numeric
@attribute f_114 numeric
@attribute f_115 numeric
@attribute f_116 numeric
@attribute f_117 numeric
@attribute f_118 numeric
@attribute f_119 numeric
@attribute f_120 numeric
@attribute f_121 numeric
@attribute f_122 numeric
@attribute f_123 numeric
@attribute f_124 numeric
@attribute f_125 numeric
@attribute f_126 numeric
@attribute f_127 numeric
@attribute f_128 numeric
@attribute f_129 numeric
@attribute f_130 numeric
@attribute f_131 numeric
@attribute f_132 numeric
@attribute f_133 numeric
@attribute f_134 numeric
@attribute f_135 numeric
@attribute f_136 numeric
@attribute f_137 numeric
@attribute f_138 numeric
@attribute f_139 numeric
@attribute f_140 numeric
@attribute f_141 numeric
@attribute f_142 numeric
@attribute f_143 numeric
@attribute f_144 numeric
@attribute f_145 numeric
@attribute f_146 numeric
@attribute f_147 numeric
@attribute f_148 numeric
@attribute f_149 numeric
@attribute f_150 numeric
@attribute f_151 numeric
@attribute f_152 numeric
@attribute f_153 numeric
@attribute f_154 numeric
@attribute f_155 numeric
@attribute f_156 numeric
@attribute f_157 numeric
@attribute f_158 numeric
@attribute f_159 numeric
@attribute f_160 numeric
@attribute f_161 numeric
@attribute f_162 numeric
@attribute f_163 numeric
@attribute f_164 numeric
@attribute f_165 numeric
@attribute f_166 numeric
@attribute f_167 numeric
@attribute f_168 numeric
@attribute f_169 numeric
@attribute f_170 numeric
@attribute f_171 numeric
@attribute f_172 numeric
@attribute f_173 numeric
@attribute f_174 numeric
@attribute f_175 numeric
@attribute f_176 numeric
@attribute f_177 numeric
@attribute f_178 numeric
@attribute f_179 numeric
@attribute f_180 numeric
@attribute f_181 numeric
@attribute f_182 numeric
@attribute f_183 numeric
@attribute f_184 numeric
@attribute f_185 numeric
@attribute f_186 numeric
@attribute f_187 numeric
@attribute f_188 numeric
@attribute f_189 numeric
@attribute f_190 numeric
@attribute f_191 numeric
@attribute f_192 numeric
@attribute f_193 numeric
@attribute f_194 numeric
@attribute f_195 numeric
@attribute f_196 numeric
@attribute f_197 numeric
@attribute f_198 numeric
@attribute f_199 numeric
@attribute label {A,B}
@data
8.944819,4.447396,4.318508,5.558923,6.1651917,5.3835106,4.4335184,6.6539664,6.8084607,5.4691978,4.5574846,6.0614276,7.390582,6.403927,5.6597104,5.623985,5.945576,5.3735614,5.79718,6.685154,5.6507063,6.3432417,7.4410205,6.913754,8.66725,9.066275,8.356055,17.900051,19.81496,15.305207,37.69906,37.70638,43.823044,41.191425,33.54962,88.44135,62.46007,74.55814,54.399895,107.2973,82.724396,94.99843,131.96979,84.78497,65.764145,123.490616,106.95035,78.60181,86.37853,82.813934,113.07559,104.04864,67.247025,69.18205,134.57484,81.17315,75.474464,127.28141,80.066536,146.95766,82.85792,116.040535,78.165085,93.850845,91.81386,68.760124,111.28589,55.20744,96.730576,61.621593,61.069134,68.64525,102.23566,67.632065,63.01429,96.437,65.706764,46.53876,107.03405,32.601406,56.59559,42.790592,59.549957,73.30153,42.1131,58.9508,27.456682,66.50594,63.675655,41.611637,65.091255,72.791756,30.826378,51.950012,70.80351,35.968155,70.825554,43.05611,43.622864,92.35434,45.03827,48.151962,83.32051,74.085144,62.198696,46.633827,98.94816,53.61798,73.24468,75.936195,56.245487,69.134995,58.375374,28.450832,55.937935,47.5011,44.461456,57.307877,46.4518,43.110058,46.199677,20.483541,42.330334,35.778095,50.713978,39.528526,39.009483,28.308008,67.06062,55.528755,27.576052,36.022305,41.28185,56.082375,41.768906,38.88966,31.41812,25.823328,58.805336,35.70877,41.634537,42.408817,22.384335,31.330566,47.781986,35.59832,34.469234,34.707596,37.748226,44.25339,47.178402,33.774128,44.545628,51.16889,29.311657,45.354675,39.03177,35.0703,22.430891,26.364532,42.54783,39.322384,37.702236,17.731201,39.639446,31.311245,35.768127,32.227943,40.83923,35.839153,16.826593,29.755407,24.27741,41.981956,20.171358,33.991997,48.037365,40.48244,35.57188,30.271679,32.096535,16.241344,33.501896,32.58914,23.52107,17.691467,28.531366,36.57058,17.11662,23.548265,12.6638975,22.725502,20.47532,23.202097,37.702236,18.139505,35.865807,13.638802,22.746569,0.0,A
1.7617369,1.808016,3.0331707,2.2942643,1.5252485,1.8977078,1.3551549,1.6926707,2.7568064,2.2484295,2.4410815,2.77209,2.3386388,1.5071313,1.5218538,1.6307138,1.8352222,2.6888278,2.558818,1.439246,1.9491493,1.5906497,2.3996038,2.9089172,6.332047,5.6637216,4.842086,9.991894,6.3938665,13.950288,30.227198,15.219987,25.489498,23.445953,36.888153,22.943077,34.361908,29.686552,64.191055,47.390255,46.894737,76.62158,53.97901,51.066166,56.247517,59.022263,55.47099,64.85842,61.83392,87.38528,98.30528,42.11624,162.76257,71.90775,29.299843,87.10394,76.63051,35.541298,30.865252,72.598785,41.84699,57.720226,77.805435,34.109707,55.214783,63.88294,50.43332,73.582184,60.381104,51.875504,74.15936,52.88604,51.802826,34.88427,56.73995,32.17751,37.60196,51.09279,26.15139,44.005997,58.49019,37.802696,49.59345,53.069725,28.080744,45.773598,42.438778,16.759007,25.732576,39.266808,54.07259,33.849823,31.755896,83.918915,48.197365,27.69353,48.68086,40.608234,18.578634,22.755695,28.14772,57.416344,25.061571,59.56358,32.335457,23.609543,24.076876,28.059334,43.966965,40.65944,37.003777,39.142097,37.83401,28.216253,24.81784,15.949037,49.058987,37.568363,38.121906,38.87261,37.832726,43.632484,33.502937,44.924732,31.371996,34.10566,16.611761,19.78837,23.474571,17.394789,16.8058,9.456741,34.231434,27.838766,25.191595,22.746426,26.234518,30.04384,32.914562,38.477608,24.44787,35.896576,30.898026,29.809776,24.069695,23.532307,39.66887,55.63032,38.54721,37.720078,21.931854,18.9762,45.35439,23.855434,23.867651,30.428225,20.988184,21.46841,20.606441,34.143597,25.865837,8.862606,26.413568,30.066214,27.82009,26.45418,18.643805,16.130072,15.089466,24.251068,35.18008,16.807915,21.842407,26.357079,34.445496,20.797007,31.383284,17.15582,36.440308,20.746975,14.369249,24.41694,29.786303,13.178037,37.43079,22.503332,26.413773,13.906593,13.614484,16.005138,23.213388,17.401833,22.552788,25.621437,27.921644,19.76012,17.935108,37.7519,4.0071263,0.0,A
2.9914045,2.0744016,4.294164,4.116211,1.9212546,2.6515121,3.8155482,1.7538013,1.7591352,3.577804,2.6360505,1.3371291,3.0287373,3.2907844,1.5646899,2.674757,4.1990056,1.879367,1.9314439,3.460093,3.3584707,2.3656669,2.6062968,4.6450095,3.5629513,8.850195,5.210291,19.716898,5.7650194,24.810905,32.237083,32.62426,32.221592,42.306698,97.953545,85.16378,54.26862,39.682068,28.692427,60.54122,62.362785,71.11006,145.28743,67.02944,106.73367,64.56871,95.83834,25.246424,93.876755,73.42556,56.771614,42.40324,45.949913,50.315083,48.061607,44.97318,70.5232,61.86951,64.28035,48.37953,51.81288,53.86961,57.174805,62.439835,50.48185,60.166573,66.06519,40.05776,69.63047,47.41527,30.365997,68.67153,26.960644,37.013783,39.294453,50.256157,31.249743,30.831715,24.299114,74.70996,27.969316,25.490776,61.56246,35.87404,34.39475,45.6465,54.720898,37.339546,30.239557,25.493,73.93913,61.507404,47.93476,32.849087,16.165974,47.99739,24.67047,50.203606,61.946156,21.36859,41.878597,30.75571,25.855461,15.602403,36.718506,18.012335,26.696339,24.285334,24.999495,21.282906,35.239742,32.56704,17.969423,35.445923,33.063103,37.45927,29.971153,25.210745,23.681034,22.452719,15.693417,33.13374,18.812992,25.831545,19.911116,31.088663,30.480978,39.435635,49.56427,41.76395,50.902687,43.19797,33.553116,35.87664,16.609415,31.781216,20.271637,32.127037,33.984344,28.07183,26.070808,32.17473,18.77394,25.642921,27.942184,25.469416,35.551514,18.646355,28.583702,20.2409,12.19163,40.037434,16.232082,14.412782,34.337543,24.821526,20.89299,12.156298,16.88487,23.666462,29.026829,22.807587,23.028112,28.025202,17.289827,27.832386,23.797832,32.12032,29.959969,20.42223,32.871017,17.537668,32.675503,23.010204,18.582703,30.629347,15.158679,20.997952,20.198362,10.747178,17.681503,31.499388,20.075502,27.096033,25.42674,28.126766,21.85827,24.688524,18.6185,10.660851,20.025404,20.476006,24.251417,13.665429,16.183434,33.313023,35.12156,26.546984,14.955166,0.0,A
1.0290766,1.0185579,1.0296731,0.88630515,0.94921273,0.8924101,0.96261203,1.043157,1.1919975,1.1747552,1.0898662,1.1902547,1.1630915,1.231564,1.4149953,1.2001361,0.73587894,1.1489483,1.0416069,1.3512949,1.3794292,0.8465325,1.671654,2.1860313,3.3369958,8.665442,3.322158,10.297144,9.1565,9.849407,5.98394,23.060265,12.206947,31.458683,37.019913,22.917814,23.18783,31.219053,36.994427,37.932728,36.551556,24.391642,23.403208,33.958755,48.31769,28.17993,40.45121,25.8425,20.796276,24.145954,22.103615,16.893057,50.76598,17.468664,27.727152,46.531418,23.356173,14.302543,9.920344,27.221552,41.12394,19.47798,33.458374,22.253477,18.267832,11.181742,31.07733,9.174581,19.556923,11.908514,26.44548,14.53961,14.381744,16.968086,22.403927,8.498036,20.939983,17.903309,23.773998,15.834412,8.973428,26.883514,41.40052,26.24898,18.58253,18.636763,15.551261,15.27546,15.236408,28.557974,16.027489,9.690304,13.534597,15.910212,9.122773,9.538421,12.155247,15.604588,10.121358,11.089218,23.66705,16.14618,21.697557,17.965067,19.212036,17.23849,15.122936,10.515851,9.771561,11.531526,13.927566,7.954785,8.395287,11.201366,3.4836216,13.257183,14.765757,11.974036,6.692442,2.5348654,9.872273,26.456043,12.217774,9.604822,9.763609,17.083138,12.947466,13.377581,8.870613,11.961936,12.1636,13.957288,11.25512,9.198999,13.20538,6.0808806,10.178649,7.7106757,12.347668,4.465843,8.032832,13.702923,9.762871,6.018901,11.514871,9.873652,5.061499,16.719164,4.3092394,8.328774,10.146826,10.941338,13.812359,14.125046,7.6452637,10.395016,8.810291,8.61403,7.083514,8.791939,11.469919,9.088842,6.527834,9.030671,7.925451,7.7605934,12.18796,7.9831324,7.7565713,7.302549,9.567103,8.35031,6.800383,8.971291,10.495948,5.6851444,6.4600453,10.661551,5.6605372,5.404041,4.6683764,10.819943,9.854811,6.2439675,8.289689,8.367198,5.6603985,3.698264,9.351649,6.234407,7.1923695,5.8970337,5.9316926,8.355451,13.795979,7.4313912,8.249222,8.133594,5.1303062,0.0,A
26.117542,17.211308,14.065044,18.015669,22.959211,22.623959,18.73054,25.382574,23.214787,28.579805,19.930767,29.937939,28.075214,23.494194,19.983057,25.81381,19.646507,22.633228,16.851759,21.674314,18.398188,18.636679,24.02772,20.335623,16.396238,21.707972,21.09168,37.300186,25.899954,17.068554,24.671307,22.593826,49.090122,25.00096,42.80153,42.10669,48.602432,39.140816,83.38037,73.326515,40.36323,88.76884,45.606194,50.980038,70.541214,53.054012,58.620148,60.11239,66.77689,91.74573,48.992012,65.01327,59.841743,40.406578,50.344387,69.73964,57.047188,56.024624,52.87547,73.313835,39.339462,50.48807,67.355995,33.09804,72.35175,57.311428,59.44201,59.29925,114.85709,66.01567,70.64219,55.322876,84.5686,64.51083,56.890438,91.73778,106.91941,50.20224,90.48595,63.495678,52.82839,33.831158,38.17914,74.34948,44.510876,77.51393,67.150826,43.46338,87.470634,56.5733,75.25295,72.21086,63.32983,69.02876,49.15329,94.605064,54.234245,57.33418,102.10689,71.27827,61.329983,76.8327,59.648525,40.531,83.02946,49.481968,26.1471,39.66798,30.69213,45.117355,37.616264,21.265564,52.947155,42.910606,46.720222,79.65898,86.09737,61.924892,95.85047,70.81345,79.51992,42.082695,78.4204,59.865524,49.09129,87.29841,51.71278,47.898945,43.553005,49.396656,45.30974,55.577206,38.669674,57.437504,82.93191,62.986134,51.805363,79.435555,57.278385,68.380936,77.64557,60.59489,40.20676,53.17939,34.88869,64.486946,61.5093,76.19295,45.300884,72.999725,57.89904,57.021152,48.303276,84.3725,52.28067,57.14996,115.98612,105.47636,45.783432,69.69364,80.90038,61.479702,49.883816,68.48756,98.401955,46.29725,57.899414,78.93603,53.04212,49.42181,64.1221,53.655823,59.922764,48.686703,64.429016,68.892204,65.51374,51.395847,60.8245,69.26479,58.08618,91.7431,108.279755,38.678665,74.03023,52.37579,44.425617,42.448433,57.33022,38.609516,46.47379,49.710117,54.66566,60.95035,65.71626,91.76117,68.96252,50.36594,58.503693,0.0,A
0.22038741,0.31301448,0.51884496,0.66501117,0.7465573,0.8492147,1.0163246,1.1459517,1.2560892,1.2983376,1.3280047,1.3149791,1.2947001,1.2574875,1.1948256,1.1087555,1.0642456,1.1169157,1.0846064,1.0818254,1.1394831,1.2025094,1.4786781,1.2023898,1.4876386,0.8330168,1.1357955,0.9172838,0.4332017,0.7042151,0.53622866,1.6107185,3.184523,3.4523098,6.455489,3.1693473,5.7114506,3.3957195,1.8192365,2.8385768,6.8599563,8.342334,11.066517,6.1637535,3.466513,5.0717916,4.09517,10.388955,5.602065,9.054691,5.364866,3.8485034,7.6547236,7.7849264,5.3441277,16.365364,5.8044906,10.087884,9.242486,9.869109,4.5242505,7.104125,3.4651158,4.6459274,3.9936378,9.560651,6.2483625,12.604757,9.37472,2.646508,4.226641,6.9831347,4.106558,2.1373184,5.47413,0.66979295,7.330646,11.520761,13.677442,8.734468,5.329621,6.176583,9.042124,11.98301,7.717299,2.1824813,6.025692,2.9176931,2.3340962,1.488964,4.3307996,6.6868205,3.6086798,4.5639887,8.126063,5.7556734,6.648682,7.3803,6.9303823,7.888699,7.919228,5.382544,3.3593485,4.5824747,3.660338,1.8394774,5.4283967,6.9232697,3.3320923,3.5214837,3.8580935,9.103635,5.504241,6.0949397,9.281415,8.498369,11.304205,9.062304,13.213298,7.0098763,4.224512,6.314855,9.159475,12.5172615,5.644784,6.406238,5.8571653,1.7306454,3.051872,4.259679,5.768406,7.2825394,5.656829,4.364472,1.2104728,4.4342313,7.998177,8.289168,7.594068,4.124836,6.3033843,5.822076,0.4003975,4.8389044,5.841483,7.407488,8.406665,3.4269292,5.987935,8.981193,3.0589912,8.289798,11.806408,11.339669,5.191758,5.4975815,7.4964275,1.7085192,6.9173846,3.1130333,3.3682945,4.833164,8.508756,11.594343,10.331519,6.282713,4.7573996,3.988332,2.2709992,5.0673494,8.115438,6.78118,2.2680285,2.905285,2.6498632,9.239045,13.122667,14.879321,14.998573,10.736348,6.880649,12.051748,10.811522,2.8254046,5.930943,10.585775,13.475532,12.139474,4.365672,8.644843,13.98521,12.602452,9.126344,5.8751426,3.084255,5.827776,4.527575,7.942367,9.962951,0.0,A
17.719986,14.606005,10.925437,13.504608,24.39057,36.51614,13.66425,13.7785225,26.97924,11.458869,7.4502845,15.747239,29.759148,9.488152,12.885701,22.715239,29.954033,22.782154,12.140482,14.413823,19.4726,31.68347,12.914106,10.154763,12.286958,22.968231,13.985317,34.253147,25.073101,21.141523,16.698513,44.299343,24.88107,46.671227,33.00972,49.318687,97.46079,49.02096,40.010384,69.76852,31.743086,23.89839,87.252144,51.625046,56.849533,80.10511,77.56527,88.73298,63.246216,56.086555,61.98646,54.6855,68.84332,43.43392,85.05786,45.360256,70.354385,51.667645,34.904232,36.321682,68.40299,64.02873,69.305954,45.015812,24.551626,89.623695,56.02979,84.62539,105.15119,40.721138,47.049393,50.994644,62.742672,95.17199,83.83959,46.093227,35.905563,50.04054,29.587105,46.399506,30.027653,61.456875,94.82602,80.40553,59.211384,33.75569,63.315487,70.033775,25.003134,49.308414,103.93276,20.402407,44.147015,75.60454,37.782303,74.36533,78.53561,62.663387,59.119095,30.82034,83.61575,13.067294,103.04051,50.64326,77.90716,56.310776,48.06413,59.14927,80.640495,76.45694,35.286346,36.411514,53.852837,42.713833,115.85091,58.2846,84.305275,97.17033,31.795107,27.716827,35.056488,67.314125,62.739777,67.49989,62.675156,69.53998,65.54812,48.2622,73.56547,48.428154,57.51133,53.279583,72.405716,38.89702,59.197086,41.738285,62.778797,46.012955,49.235237,29.48377,50.77463,52.517197,114.44091,59.12125,67.11263,29.955933,48.401066,104.538445,60.405735,47.2711,22.289595,55.972122,65.75871,65.78536,47.399376,30.298355,46.53224,64.21387,82.48354,87.32803,31.791533,43.232857,60.514236,25.379349,63.8957,65.494965,74.44657,123.88155,77.961266,106.323494,70.91232,39.889683,65.68602,72.56504,70.72931,59.14457,129.36543,74.07928,86.4023,88.991936,115.98133,49.021038,42.984848,70.008255,52.30515,35.938988,67.934395,60.273712,109.09679,67.262146,60.193317,75.21446,57.191666,35.002964,41.36349,68.83639,104.938805,97.51676,79.28169,0.0,A
25.83729,29.27076,15.855981,16.33462,30.61025,22.929552,26.238995,31.747746,22.69741,29.32757,30.79062,29.51541,17.89237,28.272835,22.188778,24.000504,17.124973,29.98517,18.190386,24.976282,17.321846,16.78027,21.1087,24.172653,14.724792,35.13821,27.974592,33.20438,30.135263,27.99493,38.65791,32.08254,39.29543,33.00692,32.405876,44.965862,60.963203,75.99854,60.24182,80.2599,53.460915,85.50967,51.848957,67.789505,48.179256,56.253567,54.879158,87.24425,52.396217,109.18873,60.62219,53.625706,73.10378,95.82527,93.556595,58.78978,67.04178,60.89709,100.05659,52.141556,41.81333,91.247375,52.90091,94.646454,80.27618,73.91995,64.147964,95.390564,66.06063,51.66113,55.616745,75.69062,60.051086,75.177444,37.574585,63.396473,71.294914,55.41715,59.696354,55.608025,65.943756,68.68065,87.61839,61.143272,73.975716,44.720642,83.075874,106.27189,98.54138,64.49692,72.81656,67.136024,28.258835,50.18726,56.551945,98.29093,100.11339,117.14521,80.69916,76.85293,58.81639,61.77776,81.61283,71.023415,67.64124,53.99171,71.837845,64.50269,40.875305,82.18125,62.700565,86.5544,51.13898,81.41264,48.24923,60.150005,61.81004,64.52214,47.23992,68.760574,57.375618,97.099106,78.634544,83.48281,58.34748,66.41877,32.998615,90.31356,72.014984,64.70121,96.416435,107.64932,47.88723,92.89169,48.927757,75.965004,56.193745,97.631516,72.96774,64.61915,68.96013,40.94267,75.34889,71.557144,74.77239,70.062294,67.06388,119.80218,66.70155,64.479546,113.23194,90.178154,61.369404,74.88116,66.43694,96.359634,80.01301,46.44371,64.13895,74.2549,73.59719,73.48176,56.267105,64.999725,95.5449,61.7811,54.972076,70.1625,63.55421,46.402344,53.920036,50.678852,70.57651,62.932247,85.974495,69.45498,56.239384,51.46959,75.46343,105.31651,56.681217,109.84162,77.89133,56.74043,84.37382,71.01189,108.13417,42.33271,79.51806,79.668594,53.271965,72.99886,57.000416,71.78361,76.05252,56.532726,60.809574,63.581474,72.627144,0.0,A
13.970971,11.446094,5.8829494,7.6063824,4.892818,3.3032985,9.020848,4.4739356,8.655372,9.636659,3.592645,4.8630137,5.656663,3.1422033,8.196427,7.079833,7.315817,13.944457,4.461302,7.2495723,3.501457,3.2400396,3.7110305,5.091621,7.722391,16.861418,9.870801,11.714989,11.017583,12.133628,9.316359,12.006359,5.829599,7.6268272,12.96998,24.496546,24.001175,50.301517,50.441456,34.19195,33.605915,1.4026302,42.26981,33.90272,16.134243,19.264832,32.85105,35.927258,22.404425,23.185091,60.71574,13.308307,55.51844,49.698673,67.20495,37.048626,12.015605,33.362732,47.695484,22.214146,17.63566,10.695288,45.366505,67.042534,25.377241,23.45567,55.110107,5.601032,52.948475,29.124601,10.360426,18.850817,4.2408776,6.224909,15.436813,22.838684,19.588043,25.597288,34.143112,29.33923,49.06708,31.777971,32.498394,23.099415,56.64506,12.931922,28.779423,17.924448,10.148662,12.77886,33.58365,21.958687,16.091291,20.66654,16.100794,14.888798,9.229259,20.225056,15.358923,21.102581,23.77964,11.113595,19.590927,36.698864,54.696636,58.226753,20.642105,2.0157864,15.95709,15.990336,33.93465,22.1739,24.464687,29.193668,22.894701,13.332963,14.50648,5.638776,36.07531,50.49927,41.477505,33.165188,31.277273,31.729944,34.5472,23.532013,19.054956,22.050804,37.56568,8.152107,17.542006,14.118268,43.063778,57.915466,49.50481,24.986261,15.261149,42.568172,19.94139,23.499615,42.92506,64.85658,31.709173,35.631138,13.483612,46.743763,16.786243,22.312439,30.180738,26.807951,14.510531,21.369047,15.721734,19.127365,23.552004,6.0563664,33.331173,23.29773,19.184072,17.553604,30.837284,37.223606,24.760635,22.680115,32.30553,17.219624,21.627398,27.963581,20.612616,31.732838,11.502789,16.70356,6.2542048,14.009496,15.335537,14.237639,13.073485,29.326357,22.517113,32.71069,14.290321,18.27793,33.294403,8.004925,25.850851,10.889573,38.281498,48.65935,10.73132,3.6749465,46.509964,19.402376,23.46011,49.240997,22.92613,11.428571,31.890862,20.822094,43.284172,0.0,A
19.056702,18.816,17.461843,23.882006,12.23858,8.509659,14.74288,15.392571,22.061924,10.290414,23.308609,14.350754,28.727583,18.945875,22.997307,12.606698,34.023643,21.725475,28.259247,21.088081,30.481369,17.002768,19.692936,18.663355,16.778955,22.250328,23.107403,42.002293,20.539333,24.04034,39.723755,78.66947,47.8523,65.72166,103.67044,84.110085,116.3574,164.10345,110.62847,95.6806,109.079796,171.10965,149.06412,128.77808,228.8528,99.197716,108.05684,141.07588,130.26901,53.05456,110.39472,138.35101,96.5833,157.4855,154.0681,86.4938,138.27861,134.43857,151.11787,119.774445,77.45755,129.86601,61.982475,132.671,94.53055,77.485756,120.40071,56.484535,136.65714,88.95953,44.297886,195.18648,155.33795,70.50213,69.155235,167.9575,97.689705,106.31495,117.189476,128.95247,121.21945,92.88335,122.65425,40.70157,48.627823,90.22118,65.33403,77.5871,77.03309,120.94337,118.03016,64.85433,93.30527,32.93164,135.03302,52.744194,85.991264,49.703896,58.66667,99.6838,55.124855,55.374878,71.448,133.03012,72.047035,81.21745,108.382484,96.62675,69.15476,47.039333,104.416985,65.04713,50.051605,52.794895,73.60313,63.541904,49.915062,62.101044,46.6192,56.48597,40.15238,53.478577,22.292412,41.64585,65.3206,86.311295,96.45921,91.43325,24.22105,45.43086,92.97223,89.46553,80.79312,20.153408,54.19237,36.817554,58.771374,83.12231,64.29414,24.281792,50.425674,48.655483,45.67754,92.8251,91.84983,58.562572,33.293938,43.629528,40.04592,40.61043,32.366894,45.43734,60.78513,66.400986,41.774334,49.90499,28.1271,34.320152,32.263863,34.10486,64.08004,37.472294,26.052965,36.959442,79.59315,39.04537,21.362135,40.93185,38.479576,60.85903,46.268993,35.444767,32.723404,30.19427,43.707996,33.015026,78.50724,35.948574,49.100174,62.698715,37.526764,41.90047,39.834267,59.471478,51.52407,27.40491,35.200565,45.310013,68.541565,63.66017,39.03374,40.147747,16.59027,17.11832,78.79824,32.22331,29.519287,20.739946,33.201923,0.0,A
